stage,case_id,n_vehicle_logs,case_strict_success,case_replayed_dwell_all,case_any_close_pass,inside_u3,delta_h0_m,delta_v0_mps
B5A,phase2_B5A_hp420p482m_vp4p54463mps_sp2deg_by_vehicle,3,False,False,False,True,420.482,4.545
B5A,phase2_B5A_hp420p482m_vp4p54463mps_sp2deg_combined,3,True,True,False,True,420.482,4.545
B5A,phase2_B5A_hp434p666m_vm9p07585mps_sp2deg_by_vehicle,3,False,False,False,True,434.666,-9.076
B5A,phase2_B5A_hp434p666m_vm9p07585mps_sp2deg_combined,3,True,True,False,True,434.666,-9.076
B5A,phase2_B5A_hp447p399m_vm2p79102mps_sp2deg_by_vehicle,3,False,False,False,True,447.399,-2.791
B5A,phase2_B5A_hp447p399m_vm2p79102mps_sp2deg_combined,3,True,True,False,True,447.399,-2.791
B5A,phase2_B5A_hp453p825m_vm15p3266mps_sp2deg_combined,3,False,False,True,False,453.825,-15.327
B5A,phase2_B5A_hp46p566m_vm17p2617mps_sp2deg_by_vehicle,3,False,False,False,False,46.566,-17.262
B5A,phase2_B5A_hp46p566m_vm17p2617mps_sp2deg_combined,3,False,False,True,False,46.566,-17.262
B5A,phase2_B5A_hp470p698m_vp3p58727mps_sp2deg_by_vehicle,3,False,False,False,True,470.698,3.587
B5A,phase2_B5A_hp470p698m_vp3p58727mps_sp2deg_combined,3,True,True,False,True,470.698,3.587
